case_number,claimant,respondents,status,NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES
ARB/22/20,PCCW Cascade (Middle East) Ltd.,Kingdom of Saudi Arabia,Pending,16.0,2022.0,PCCW v. Saudi Arabia,PCCW Cascade (Middle East) Ltd. v. Kingdom of Saudi Arabia (ICSID Case No. ARB/22/20),China - Saudi Arabia BIT (1996),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Saudi Arabia,China,Tertiary - J - Information and communication,61 - Telecommunications,,Investments in a telecommunication enterprise.,"Name not available - President; Alexandrov, S. A. - Claimant; Kalicki, J. E. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9503,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/20;
https://www.iareporter.com/arbitration-cases/pccw-cascade-v-saudi-arabia/;
https://globalarbitrationreview.com/article/chinese-saudi-telecoms-dispute-kicks-icsid"
ARB/22/17,Comercializadora Mediterránea de Viviendas S.L.,Kingdom of Morocco,Pending,6.0,2022.0,Comervi v. Morocco,Comercializadora Mediterránea de Viviendas S.L. v. Kingdom of Morocco (ICSID Case No. ARB/22/17),Morocco - Spain BIT (1997),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Morocco,Spain,"Tertiary - F - Construction;
Tertiary - L - Real estate activities","41 - Construction of buildings;
68 - Real estate activities","Claims arising out the Government’s alleged failure to provide the necessary facilities and infrastructure in the areas of the claimant’s residential construction projects near Rabat, as well as Government authorities’ administrative inaction related to a real estate project in Tangier.","Investments in urban development projects, including the construction of residential buildings at the outskirts of Rabat and Tangier.","Name not available - President; Pierola Castro, N. F. - Claimant; Name not available - Respondent",Data not available,Data not available,407.00 EUR (429.60 USD),Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Arbitrary, unreasonable and/or discriminatory measures;
Full protection and security, or similar;
Umbrella clause;
Indirect expropriation",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9500,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/17;
https://globalarbitrationreview.com/article/morocco-dragged-icsid-over-satellite-cities-project;
https://www.iareporter.com/arbitration-cases/comercializadora-mediterranea-de-viviendas-v-morocco/;
https://ledesk.ma/2022/06/18/lespagnol-marina-dor-reclame-407-me-au-maroc-pour-ses-projets-entraves-a-tamesna-et-tanger/"
ARB/22/16,Ozkartallar Inşaat Sanayi Ve Ticaret A.S. and Campak Temizlik Bilgi Işlem Otomasyon Saglik Hizmetleri Iletişim Sanayi Ve Ticaret A.S.,Islamic Republic of Pakistan,Pending,15.0,2022.0,Ozkartallar and Campak v. Pakistan,Ozkartallar Inşaat Sanayi Ve Ticaret A.S. and Campak Temizlik Bilgi Işlem Otomasyon Saglik Hizmetleri Iletişim Sanayi Ve Ticaret A.S. v. Islamic Republic of Pakistan (ICSID Case No. ARB/22/16),Pakistan - Turkey BIT (1995),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Pakistan,Türkiye,"Tertiary - E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply",,Rights under a contract for waste management services concluded with state-owned Lahore Waste Management Company.,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9499,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/16 ;
https://www.iareporter.com/arbitration-cases/ozkartallar-campak-temizlik-v-pakistan/;
https://www.iareporter.com/articles/waste-management-investor-lodges-icsid-claim-against-pakistan/;
https://globalarbitrationreview.com/article/lahore-cleaning-contract-lands-pakistan-icsid"
ARB/22/15,Plaza Centers N.V.,Romania,Pending,17.0,2022.0,Plaza Centers v. Romania,Plaza Centers N.V. v. Romania (ICSID Case No. ARB/22/15),Netherlands - Romania BIT (1994),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Romania,Netherlands,Tertiary - F - Construction,41 - Construction of buildings,,"Investments in a shopping and entertainment center project in Bucharest, known as the ""Casa Radio"" and “Dambovita center” project.","Name not available - President; Weiler, T. - Claimant; Mayer, P. - Respondent",Data not available,Data not available,262.20 EUR (273.10 USD),Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9498,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/15 ;
https://web.archive.org/web/20221208084035/https://www.londonstockexchange.com/news-article/PLAZ/update-regarding-the-casa-radio-project/15454672;
https://www.iareporter.com/arbitration-cases/plaza-centers-v-romania/;
https://seenews.com/news/plaza-centers-seeks-compensation-for-226-mln-euro-losses-in-romania-project-784915;
https://globalarbitrationreview.com/article/property-developer-brings-romania-icsid"
ARB/22/14,"Coropi Holdings Limited, Kalemegdan Investments Limited and Erinn Bernard Broshko",Republic of Serbia,Pending,8.0,2022.0,Coropi and others v. Serbia,"Coropi Holdings Limited, Kalemegdan Investments Limited and Erinn Bernard Broshko v. Republic of Serbia (ICSID Case No. ARB/22/14)","Canada - Serbia BIT (2014);
Cyprus - Serbia BIT (2005)",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Serbia,"Cyprus;
Canada",Tertiary - L - Real estate activities,68 - Real estate activities,,Investments in a real estate project.,"Name not available - President; Jana Linetzky, A. - Claimant; Name not available - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9497 ,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/14 ;
https://www.iareporter.com/arbitration-cases/coropi-holdings-and-others-v-serbia/;
https://globalarbitrationreview.com/article/real-estate-investors-take-serbia-icsid"
ARB/22/13,Aderlyne Limited,Romania,Pending,2.0,2022.0,Aderlyne v. Romania,Aderlyne Limited v. Romania (ICSID Case No. ARB/22/13),The Energy Charter Treaty (1994),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Romania,Cyprus,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Investments in renewable energy projects.,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9402,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/13 ;
https://www.iareporter.com/arbitration-cases/aderlyne-v-romania/;
https://globalarbitrationreview.com/article/romania-hit-another-renewables-claim"
ARB/22/12,WOC Photovoltaik Portfolio GmbH & Co. KG and others,Kingdom of Spain,Pending,22.0,2022.0,WOC Photovoltaik and others v. Spain,WOC Photovoltaik Portfolio GmbH & Co. KG and others v. Kingdom of Spain (ICSID Case No. ARB/22/12),The Energy Charter Treaty (1994),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Spain,Germany,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector.,Investments in renewable energy generation projects.,"Name not available - President; Reinisch, A. - Claimant; Sreenan, P. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9353 ,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/12;
https://jusmundi.com/en/document/decision/en-woc-photovoltaik-portfolio-gmbh-co-kg-and-others-v-kingdom-of-spain-party-representatives-tuesday-5th-april-2022;
https://www.iareporter.com/articles/spain-is-facing-yet-another-intra-eu-ect-arbitration-as-36-german-and-spanish-renewable-energy-companies-lodge-icsid-claim/;
https://globalarbitrationreview.com/article/german-investment-fund-behind-latest-spain-claim"
ARB/22/11,CB&I UK Limited,Republic of Colombia,Pending,3.0,2022.0,CB&I v. Colombia,CB&I UK Limited v. Republic of Colombia (ICSID Case No. ARB/22/11),Colombia - United Kingdom BIT (2010),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Colombia,United Kingdom,Secondary - C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,,"Name not available - President; Hanotiau, B. - Claimant; Name not available - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9352,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/11;
https://www.iareporter.com/articles/colombia-round-up-newly-approved-bits-settlement-discussions-pleadings-and-decisions/;
https://www.iareporter.com/articles/engineering-company-makes-good-on-earlier-threat-to-lodge-treaty-case-against-colombia;
https://globalarbitrationreview.com/colombia-faces-icsid-claim-over-refinery-project;
https://ciarglobal.com/chicago-bridge-iron-company-presenta-arbitraje-de-inversion-contra-colombia/"
ARB/22/10,Clara Petroleum Ltd,Romania,Pending,4.0,2022.0,Clara Petroleum v. Romania,Clara Petroleum Ltd v. Romania (ICSID Case No. ARB/22/10),The Energy Charter Treaty (1994),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Romania,United Kingdom,Primary - B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,Investments in the exploration and production of hydrocarbons.,"van den Berg, A. J. - President; Schill, S. - Claimant; Thomas, J. C. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9351,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/10;
https://www.iareporter.com/articles/uk-investor-lodges-ect-claim-against-romania/"
ARB/22/9,Addiko Bank AG,Republic of Slovenia,Pending,1.0,2022.0,Addiko Bank v. Slovenia,Addiko Bank AG v. Republic of Slovenia (ICSID Case No. ARB/22/9),Austria - Slovenia BIT (2001),ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Slovenia,Austria,Tertiary - K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of Slovenia’s 2022 law limiting and distributing currency risk among creditors and borrowers of loans in Swiss francs, which requires lenders to adjust CHF loan agreements concluded between 2004 and 2010.",Investments in banking services and debt instruments.,"Name not available - President; Reichert, K. - Claimant; van Houtte, H. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9350,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/22/9;
https://www.iareporter.com/articles/austrian-bank-files-intra-eu-claim-over-regulation-of-swiss-franc-denominated-loans/;
https://globalarbitrationreview.com/slovenia-faces-icsid-claim-over-retroactive-loan-measures"
