case_number,claimant,respondents,status,NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES
2022-34,,,,9.0,2022.0,Devas v. India (II),"CC/Devas (Mauritius) Ltd., Telcom Devas Mauritius Limited, and Devas Employees Mauritius Private Limited v. Republic of India (II) (PCA Case No. 2022-34)",India - Mauritius BIT (1998),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,India,Mauritius,Tertiary - J - Information and communication,61 - Telecommunications,,,"Zuleta, E. - President; Schill, S. - Claimant; Raghuram, G. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/281/ ;
https://www.iareporter.com/arbitration-cases/cc-devas-v-india-2/;
https://www.iareporter.com/articles/devas-shareholders-file-new-treaty-arbitration-against-india-alleging-that-the-state-has-engaged-in-an-audacious-scheme-to-avoid-payment-of-billion-dollar-icc-award-in-devas-antrix/;
https://globalarbitrationreview.com/devas-investors-launch-new-claim-against-india;
https://jusmundi.com/en/document/other/en-cc-devas-mauritius-ltd-telcom-devas-mauritius-limited-and-devas-employees-mauritius-private-limited-v-republic-of-india-notice-of-arbitration-wednesday-2nd-february-2022"
2022/006,,,,14.0,2022.0,Ostchem v. Ukraine,Ostchem Holding Limited v. Ukraine (SCC Case No. 2022/006),The Energy Charter Treaty (1994),SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Pending,Ukraine,Cyprus,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Rights under a natural gas purchase and sale contract with a state-owned company.,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/ostchem-v-ukraine/;
https://globalarbitrationreview.com/article/firtash-claim-against-ukraine-comes-light;
https://www.energychartertreaty.org/details/article/ostchem-holding-ltd-v-ukraine-scc/"
2022-01,,,,45.0,2021.0,Garnier v. Dominican Republic,Yves Martine Garnier v. The Dominican Republic (PCA Case No. 2022-01),Dominican Republic - France BIT (1999),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Dominican Republic,France,"Tertiary - E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",,,"Collins, L. - President; Gharavi, H. G. - Claimant; Vinuesa, R. E. - Respondent",Data not available,Data not available,224.00 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/274/;
https://www.iareporter.com/arbitration-cases/yves-martine-garnier-v-dominican-republic/"
2021-31,,,,49.0,2021.0,Holcim v. Ecuador,"Holcim Investments (Spain), S.L. v. the Republic of Ecuador (PCA Case No. 2021-31)",Ecuador - Spain BIT (1996),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Ecuador,Spain,Secondary - C - Manufacturing,23 - Manufacture of other non-metallic mineral products,,,"Siqueiros, E. - President; Grigera Naón, H. A. - Claimant; Kohen, M. G. - Respondent",Data not available,Data not available,6.10 USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
National treatment;
Arbitrary, unreasonable and/or discriminatory measures;
Other",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/9276,"https://pca-cpa.org/en/cases/275/;
https://www.iareporter.com/articles/cement-investor-asks-uncitral-tribunal-for-an-order-directing-ecuador-to-ensure-legal-security-with-respect-to-its-mandatory-pension-contributions/;
https://globalarbitrationreview.com/article/pca-hears-cement-groups-treaty-claim-against-ecuador"
2021/155,,,,54.0,2021.0,Ivicom v. Albania,Ivicom Holding GmbH v. Republic of Albania (SCC Case No. 2021/155),The Energy Charter Treaty (1994),SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Pending,Albania,Austria,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/ivicom-v-albania/;
https://globalarbitrationreview.com/article/albania-faces-claim-over-gas-turbine-power-plant"
2021-35,,,,59.0,2021.0,Liberty v. Venezuela (II),"Liberty Seguros, Compañía de Seguros y Reaseguros S.A. (Spain) v. Bolivarian Republic of Venezuela (II) (PCA Case No. 2021-35)","Spain - Venezuela, Bolivarian Republic of BIT (1995)",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,"Venezuela, Bolivarian Republic of",Spain,Tertiary - K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security",,Investments in an insurance company.,"McLachlan, C. A. - President; Poncet, C. - Claimant; Ruiz Fabri, H. - Respondent; Drymer, S. L. - Claimant (replaced)",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/273/;
https://www.iareporter.com/arbitration-cases/liberty-v-venezuela-2/;
https://www.iareporter.com/articles/pca-secretary-general-upholds-challenge-to-stephen-drymer-finding-possible-asymmetry-of-information-with-his-co-arbitrators-given-his-participation-in-parallel-icsid-af-arbitration/;
https://globalarbitrationreview.com/insurers-treaty-claim-against-venezuela-underway;
https://globalarbitrationreview.com/drymer-disqualified-over-dual-appointments"
2022-08,,,,83.0,2021.0,Stucky and Bernard v. Jordan,Stucky Ltd and Bernard Gruppe ZT GmbH v. The Hashemite Kingdom of Jordan (PCA Case No. 2022-08),"Austria - Jordan BIT (2001);
Jordan - Switzerland BIT (2001)",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Jordan,"Austria;
Switzerland",Tertiary - F - Construction,42 - Civil engineering,,,"Greenwood, C. - President; Schill, S. - Claimant; Slim, H. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/278/;
https://www.iareporter.com/arbitration-cases/stucky-bernard-gruppe-v-jordan/"
2020-11,,,,103.0,2020.0,Amorrortu v. Peru,Bacilio Amorrortu v. The Republic of Peru (PCA Case No. 2020-11),Peru - United States FTA (2006),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Peru,United States of America,Primary - B - Mining and quarrying,9 - Mining support service activities,"Claims arising out of the decision of PeruPetro, a state-owned petroleum company, to conduct a public bidding process for operating Blocks III and IV of the Talara Basin crude oil reserve, which allegedly deprived the claimant’s company Baspetrol of its right to negotiate directly with PeruPetro. According to the claimant, Baspetrol was allegedly unfairly excluded from the bidding process and PeruPetro awarded the licences to local company Graña y Montero S.A., allegedly as part of a corruption scheme involving the then Government.","Investments in Baspetrol S.A.C., a company operating in the oil and gas field.","Binnie, I. - President; Hanotiau, B. - Claimant; Landau, T. - Respondent",Data not available,Data not available,Data not available,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/8327,https://pca-cpa.org/en/cases/244/
2020-47,,,,111.0,2020.0,Consorcio Cementero and others v. Bolivia,"Consorcio Cementero del Sur S.A., Yura Inversiones Bolivia S.A., Grupo de Inversiones Gloria Bolivia S.A., Sociedad Boliviana de Cemento S.A. v. Plurinational State of Bolivia (PCA Case No. 2020-47)","Bolivia, Plurinational State of - Peru BIT (1993)",IACAC (Inter-American Commercial Arbitration Commission),PCA (Permanent Court of Arbitration),Pending,"Bolivia, Plurinational State of",Peru,Secondary - C - Manufacturing,23 - Manufacture of other non-metallic mineral products,"Claims arising out of a Government decree in 2010 nationalizing Soboce’s shareholding of 33.34 per cent in Fancesa, a national cement company.","Majority shareholding in Sociedad Boliviana de Cementos (“Soboce”), which held a 33.34% share in Fábrica Nacional de Cemento S.A. (“Fancesa”).","Fernández Arroyo, D. P. - President; Garibaldi, O. M. - Claimant; Viñuales, J. E. - Respondent",Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://pca-cpa.org/en/cases/268/;
https://www.iareporter.com/arbitration-cases/consorcio-cementero-del-sur-v-bolivia/;
https://www.iareporter.com/articles/bolivia-round-up-two-new-cases-against-the-state-plus-other-arbitration-developments-including-threats-of-proceedings-against-covid-19-vaccine-producers/;
https://globalarbitrationreview.com/andean-states-face-investment-disputes"
2021-30,,,,123.0,2020.0,Goh v. China,Goh Chin Soon v. People's Republic of China (formerly ICSID Case No. ARB/20/34) (PCA Case No. 2021-30),China - Singapore BIT (1985),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,China,Singapore,Tertiary - L - Real estate activities,68 - Real estate activities,Claims arising out of the Government’s alleged seizure of the claimant’s assets and interests in real estate development projects in the city of Qingdao.,"Investments in several real estate development projects in Qingdao, a city in eastern China.","Reed, L. - President; Moser, M. J. - Claimant; Douglas, Z. - Respondent",,No decisions recorded,Data not available,Data not available,Direct expropriation,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/20/34;
https://globalarbitrationreview.com/beer-festival-backer-brings-icsid-claim-against-china;
https://www.prnewswire.com/news-releases/singaporean-chinese-businessman-goh-chin-soon-has-filed-with-the-international-centre-for-settlement-of-investment-disputes-in-a-case-that-could-involve-corruption-and-embezzlement-in-china-301221168.html;
https://www.iareporter.com/articles/singaporean-real-estate-developer-launches-treaty-based-arbitration-against-china/;
https://pca-cpa.org/en/cases/269/"
